datum,hodina,proces,celkem,pozde
2026-08-13,16,1. Pick,231,1
2026-08-13,16,2. Pack,375,1
2026-08-13,16,3. Sort,1992,19
2026-08-13,16,4. EXP (ČS),6140,53
2026-08-13,16,5. EXP (DLT),4947,38
2026-08-13,16,6. BJ (LT),231,46
2026-08-13,16,7. BJ (ČS),609,40
2026-08-13,17,1. Pick,42,0
2026-08-13,17,2. Pack,220,1
2026-08-13,17,3. Sort,224,32
2026-08-13,17,4. EXP (ČS),1989,17
2026-08-13,17,5. EXP (DLT),1566,17
2026-08-13,17,6. BJ (LT),16,4
2026-08-13,17,7. BJ (ČS),84,16
2026-08-13,18,1. Pick,31,0
2026-08-13,18,2. Pack,38,0
2026-08-13,18,3. Sort,200,0
2026-08-13,18,4. EXP (ČS),217,49
2026-08-13,18,5. EXP (DLT),1833,64
2026-08-13,18,6. BJ (LT),59,0
2026-08-13,18,7. BJ (ČS),16,8
2026-08-13,19,1. Pick,19,0
2026-08-13,19,2. Pack,19,0
2026-08-13,19,3. Sort,21,0
2026-08-13,19,4. EXP (ČS),184,0
2026-08-13,19,5. EXP (DLT),72,0
2026-08-13,19,7. BJ (ČS),59,0
2026-08-13,20,1. Pick,1734,34
2026-08-13,20,2. Pack,802,18
2026-08-13,20,3. Sort,45,2
2026-08-13,20,4. EXP (ČS),45,0
2026-08-13,20,5. EXP (DLT),162,0
2026-08-13,20,6. BJ (LT),16,7
2026-08-13,20,7. BJ (ČS),16,0
2026-08-13,21,1. Pick,536,13
2026-08-13,21,2. Pack,1328,13
2026-08-13,21,3. Sort,1756,39
2026-08-13,21,5. EXP (DLT),45,0
2026-08-13,21,6. BJ (LT),218,5
2026-08-13,22,1. Pick,244,0
2026-08-13,22,2. Pack,384,4
2026-08-13,22,3. Sort,469,16
2026-08-13,22,4. EXP (ČS),1907,48
2026-08-13,22,5. EXP (DLT),1370,18
2026-08-13,22,6. BJ (LT),47,2
2026-08-13,22,7. BJ (ČS),220,8
2026-08-13,23,1. Pick,187,0
2026-08-13,23,2. Pack,1,0
2026-08-13,23,3. Sort,248,6
2026-08-13,23,4. EXP (ČS),714,29
2026-08-13,23,5. EXP (DLT),812,30
2026-08-13,23,6. BJ (LT),4,0
2026-08-13,23,7. BJ (ČS),51,0
2026-08-14,0,1. Pick,19495,119
2026-08-14,0,2. Pack,336,0
2026-08-14,0,5. EXP (DLT),490,0
2026-08-14,1,1. Pick,24387,46
2026-08-14,1,2. Pack,43670,130
2026-08-14,1,3. Sort,19632,272
2026-08-14,1,6. BJ (LT),1464,42
2026-08-14,2,1. Pick,12190,14
2026-08-14,2,2. Pack,12058,7
2026-08-14,2,3. Sort,24387,411
2026-08-14,2,4. EXP (ČS),19632,138
2026-08-14,2,5. EXP (DLT),19632,137
2026-08-14,2,6. BJ (LT),820,26
2026-08-14,2,7. BJ (ČS),1460,41
2026-08-14,3,1. Pick,13788,7
2026-08-14,3,2. Pack,13933,7
2026-08-14,3,3. Sort,12114,284
2026-08-14,3,4. EXP (ČS),24387,58
2026-08-14,3,5. EXP (DLT),24387,58
2026-08-14,3,6. BJ (LT),864,34
2026-08-14,3,7. BJ (ČS),819,28
2026-08-14,4,1. Pick,21,0
2026-08-14,4,3. Sort,13788,25
2026-08-14,4,4. EXP (ČS),12162,34
2026-08-14,4,5. EXP (DLT),12118,31
2026-08-14,4,6. BJ (LT),553,17
2026-08-14,4,7. BJ (ČS),866,33
2026-08-14,5,1. Pick,432,2
2026-08-14,5,2. Pack,453,2
2026-08-14,5,3. Sort,65,1
2026-08-14,5,4. EXP (ČS),13740,26
2026-08-14,5,5. EXP (DLT),13784,26
2026-08-14,5,6. BJ (LT),6,1
2026-08-14,5,7. BJ (ČS),549,19
2026-08-14,6,1. Pick,165,4
2026-08-14,6,2. Pack,165,0
2026-08-14,6,3. Sort,497,0
2026-08-14,6,4. EXP (ČS),175,0
2026-08-14,6,5. EXP (DLT),175,0
2026-08-14,6,6. BJ (LT),54,5
2026-08-14,6,7. BJ (ČS),22,8
2026-08-14,7,1. Pick,86,1
2026-08-14,7,2. Pack,86,1
2026-08-14,7,3. Sort,390,34
2026-08-14,7,4. EXP (ČS),480,14
2026-08-14,7,5. EXP (DLT),480,14
2026-08-14,7,6. BJ (LT),24,16
2026-08-14,7,7. BJ (ČS),65,23
2026-08-14,8,1. Pick,1628,53
2026-08-14,8,2. Pack,420,5
2026-08-14,8,3. Sort,80,4
2026-08-14,8,4. EXP (ČS),351,2
2026-08-14,8,5. EXP (DLT),46,0
2026-08-14,8,7. BJ (ČS),2,1
2026-08-14,9,1. Pick,51,0
2026-08-14,9,2. Pack,1236,2
2026-08-14,9,3. Sort,1577,17
2026-08-14,9,4. EXP (ČS),73,0
2026-08-14,9,5. EXP (DLT),238,0
2026-08-14,9,6. BJ (LT),402,13
2026-08-14,9,7. BJ (ČS),59,54
2026-08-14,10,1. Pick,309,0
2026-08-14,10,2. Pack,327,0
2026-08-14,10,3. Sort,48,1
2026-08-14,10,4. EXP (ČS),1577,8
2026-08-14,10,5. EXP (DLT),1577,8
2026-08-14,10,6. BJ (LT),4,0
2026-08-14,10,7. BJ (ČS),343,3
2026-08-14,11,1. Pick,1848,2
2026-08-14,11,2. Pack,76,0
2026-08-14,11,3. Sort,350,16
2026-08-14,11,4. EXP (ČS),63,2
2026-08-14,11,5. EXP (DLT),63,0
2026-08-14,11,6. BJ (LT),129,14
2026-08-14,11,7. BJ (ČS),4,0
2026-08-14,12,1. Pick,400,21
2026-08-14,12,2. Pack,1947,24
2026-08-14,12,3. Sort,1840,53
2026-08-14,12,4. EXP (ČS),356,18
2026-08-14,12,5. EXP (DLT),496,19
2026-08-14,12,6. BJ (LT),223,5
2026-08-14,12,7. BJ (ČS),129,5
2026-08-14,13,1. Pick,38,1
2026-08-14,13,2. Pack,257,31
2026-08-14,13,3. Sort,329,4
2026-08-14,13,4. EXP (ČS),1906,39
2026-08-14,13,5. EXP (DLT),43,0
2026-08-14,13,6. BJ (LT),34,10
2026-08-14,13,7. BJ (ČS),219,1
2026-08-14,14,1. Pick,5323,13
2026-08-14,14,2. Pack,954,11
2026-08-14,14,3. Sort,115,0
2026-08-14,14,4. EXP (ČS),381,0
2026-08-14,14,5. EXP (DLT),2095,27
2026-08-14,14,7. BJ (ČS),34,10
2026-08-14,15,1. Pick,265,28
2026-08-14,15,2. Pack,4428,30
2026-08-14,15,3. Sort,5298,100
2026-08-14,15,4. EXP (ČS),55,1
2026-08-14,15,5. EXP (DLT),55,1
2026-08-14,15,6. BJ (LT),686,245
2026-08-14,16,1. Pick,46,0
2026-08-14,16,2. Pack,262,0
2026-08-14,16,3. Sort,268,3
2026-08-14,16,4. EXP (ČS),5329,64
2026-08-14,16,5. EXP (DLT),4452,50
2026-08-14,16,6. BJ (LT),37,10
2026-08-14,16,7. BJ (ČS),696,166
2026-08-14,17,1. Pick,69,1
2026-08-14,17,2. Pack,64,1
2026-08-14,17,3. Sort,66,6
2026-08-14,17,4. EXP (ČS),268,6
2026-08-14,17,5. EXP (DLT),1145,20
2026-08-14,17,7. BJ (ČS),27,3
2026-08-14,18,1. Pick,29,0
2026-08-14,18,2. Pack,30,0
2026-08-14,18,3. Sort,30,4
2026-08-14,18,4. EXP (ČS),32,2
2026-08-14,18,5. EXP (DLT),32,2
2026-08-14,19,1. Pick,56,1
2026-08-14,19,2. Pack,61,0
2026-08-14,19,3. Sort,62,5
2026-08-14,19,4. EXP (ČS),63,3
2026-08-14,19,5. EXP (DLT),102,3
2026-08-14,20,1. Pick,1569,10
2026-08-14,20,2. Pack,820,12
2026-08-14,20,3. Sort,28,0
2026-08-14,20,4. EXP (ČS),28,0
2026-08-14,20,6. BJ (LT),17,1
2026-08-14,20,7. BJ (ČS),17,1
2026-08-14,21,1. Pick,299,19
2026-08-14,21,2. Pack,976,46
2026-08-14,21,3. Sort,1577,51
2026-08-14,21,5. EXP (DLT),28,0
2026-08-14,21,6. BJ (LT),268,31
2026-08-14,22,1. Pick,304,0
2026-08-14,22,2. Pack,376,0
2026-08-14,22,3. Sort,263,0
2026-08-14,22,4. EXP (ČS),1645,22
2026-08-14,22,5. EXP (DLT),1124,5
2026-08-14,22,6. BJ (LT),28,0
2026-08-14,22,7. BJ (ČS),269,16
2026-08-14,23,1. Pick,137,0
2026-08-14,23,3. Sort,318,50
2026-08-14,23,4. EXP (ČS),578,4
2026-08-14,23,5. EXP (DLT),736,17
2026-08-14,23,6. BJ (LT),109,0
2026-08-14,23,7. BJ (ČS),139,2
2026-08-15,0,1. Pick,22436,137
2026-08-15,0,2. Pack,577,1
2026-08-15,0,5. EXP (DLT),658,0
2026-08-15,1,1. Pick,28149,211
2026-08-15,1,2. Pack,50363,618
2026-08-15,1,3. Sort,22813,208
2026-08-15,1,6. BJ (LT),645,49
2026-08-15,2,1. Pick,13332,7
2026-08-15,2,2. Pack,13129,25
2026-08-15,2,3. Sort,28149,518
2026-08-15,2,4. EXP (ČS),22813,212
2026-08-15,2,5. EXP (DLT),22813,212
2026-08-15,2,6. BJ (LT),307,38
2026-08-15,2,7. BJ (ČS),645,47
2026-08-15,3,1. Pick,15749,6
2026-08-15,3,2. Pack,15974,8
2026-08-15,3,3. Sort,13141,252
2026-08-15,3,4. EXP (ČS),28149,118
2026-08-15,3,5. EXP (DLT),28149,112
2026-08-15,3,6. BJ (LT),246,11
2026-08-15,3,7. BJ (ČS),307,35
2026-08-15,4,1. Pick,23,0
2026-08-15,4,3. Sort,15749,37
2026-08-15,4,4. EXP (ČS),13214,126
2026-08-15,4,5. EXP (DLT),13148,126
2026-08-15,4,6. BJ (LT),186,4
2026-08-15,4,7. BJ (ČS),248,11
2026-08-15,5,1. Pick,579,2
2026-08-15,5,2. Pack,602,1
2026-08-15,5,3. Sort,69,0
2026-08-15,5,4. EXP (ČS),15676,37
2026-08-15,5,5. EXP (DLT),15742,37
2026-08-15,5,6. BJ (LT),10,6
2026-08-15,5,7. BJ (ČS),184,4
2026-08-15,6,3. Sort,388,2
2026-08-15,6,4. EXP (ČS),145,1
2026-08-15,6,5. EXP (DLT),145,1
